title,description,publishedDate,publishedText,videoId,videoUrl,channelName,channelId,channelUrl,thumbnails,views,viewsText,duration,durationText,verified,creatorOnRise,isShort
A COMPLETE UNKNOWN | Official Teaser | Searchlight Pictures,"Timoth??e Chalamet is Bob Dylan in A COMPLETE UNKNOWN. A Film By James Mangold. Co-starring Edward Norton, Elle Fanning, Monica Barbaro, Boyd Holbrook, Dan Fogler, Norbert Leo Butz and Scoot...",2024-08-01T00:57:43.999Z,8 days ago,TcNNteP22gQ,https://youtube.com/watch?v=TcNNteP22gQ,SearchlightPictures,UCor9rW6PgxSQ9vUPWQdnaYQ,https://youtube.com/@searchlightpictures,"[{'quality': 'maxres', 'url': 'https://i.ytimg.com/vi/TcNNteP22gQ/maxres.jpg', 'width': 1280, 'height': 720}, {'quality': 'maxresdefault', 'url': 'https://i.ytimg.com/vi/TcNNteP22gQ/maxresdefault.jpg', 'width': 1280, 'height': 720}, {'quality': 'sddefault', 'url': 'https://i.ytimg.com/vi/TcNNteP22gQ/sddefault.jpg', 'width': 640, 'height': 480}, {'quality': 'high', 'url': 'https://i.ytimg.com/vi/TcNNteP22gQ/hqdefault.jpg', 'width': 480, 'height': 360}, {'quality': 'medium', 'url': 'https://i.ytimg.com/vi/TcNNteP22gQ/mqdefault.jpg', 'width': 320, 'height': 180}, {'quality': 'default', 'url': 'https://i.ytimg.com/vi/TcNNteP22gQ/default.jpg', 'width': 120, 'height': 90}, {'quality': 'start', 'url': 'https://i.ytimg.com/vi/TcNNteP22gQ/1.jpg', 'width': 120, 'height': 90}, {'quality': 'middle', 'url': 'https://i.ytimg.com/vi/TcNNteP22gQ/2.jpg', 'width': 120, 'height': 90}, {'quality': 'end', 'url': 'https://i.ytimg.com/vi/TcNNteP22gQ/3.jpg', 'width': 120, 'height': 90}]",3425568,"3,425,568 views",113,1:53,TRUE,FALSE,FALSE
Am I Racist? | Official Trailer,"From the white guys who brought you ""What Is A Woman?"" comes ""Am I Racist?"" Matt Walsh goes deep undercover in the world of diversity, equity, and inclusion. Prepare to be shocked by how far...",2024-08-01T00:57:43.999Z,8 days ago,c7PA_kshZh0,https://youtube.com/watch?v=c7PA_kshZh0,Matt Walsh,UCO01ytfzgXYy4glnPJm4PPQ,https://youtube.com/@MattWalsh,"[{'quality': 'maxres', 'url': 'https://i.ytimg.com/vi/c7PA_kshZh0/maxres.jpg', 'width': 1280, 'height': 720}, {'quality': 'maxresdefault', 'url': 'https://i.ytimg.com/vi/c7PA_kshZh0/maxresdefault.jpg', 'width': 1280, 'height': 720}, {'quality': 'sddefault', 'url': 'https://i.ytimg.com/vi/c7PA_kshZh0/sddefault.jpg', 'width': 640, 'height': 480}, {'quality': 'high', 'url': 'https://i.ytimg.com/vi/c7PA_kshZh0/hqdefault.jpg', 'width': 480, 'height': 360}, {'quality': 'medium', 'url': 'https://i.ytimg.com/vi/c7PA_kshZh0/mqdefault.jpg', 'width': 320, 'height': 180}, {'quality': 'default', 'url': 'https://i.ytimg.com/vi/c7PA_kshZh0/default.jpg', 'width': 120, 'height': 90}, {'quality': 'start', 'url': 'https://i.ytimg.com/vi/c7PA_kshZh0/1.jpg', 'width': 120, 'height': 90}, {'quality': 'middle', 'url': 'https://i.ytimg.com/vi/c7PA_kshZh0/2.jpg', 'width': 120, 'height': 90}, {'quality': 'end', 'url': 'https://i.ytimg.com/vi/c7PA_kshZh0/3.jpg', 'width': 120, 'height': 90}]",4770893,"4,770,893 views",145,2:25,TRUE,FALSE,FALSE
TERRIFIER 3 | Official Teaser Trailer,"In Cineverse and Bloody Disgusting?€?s Terrifier 3, directed once again by Damien Leone, Art the Clown (David Howard Thornton) is set to unleash another round of chaos on the unsuspecting residents...",2024-08-01T00:57:43.999Z,8 days ago,lYMTzx2Qcmw,https://youtube.com/watch?v=lYMTzx2Qcmw,Screambox,UCgXoKGcxCIjg2y1TyxXf_KA,https://youtube.com/@ScreamboxTV,"[{'quality': 'maxres', 'url': 'https://i.ytimg.com/vi/lYMTzx2Qcmw/maxres.jpg', 'width': 1280, 'height': 720}, {'quality': 'maxresdefault', 'url': 'https://i.ytimg.com/vi/lYMTzx2Qcmw/maxresdefault.jpg', 'width': 1280, 'height': 720}, {'quality': 'sddefault', 'url': 'https://i.ytimg.com/vi/lYMTzx2Qcmw/sddefault.jpg', 'width': 640, 'height': 480}, {'quality': 'high', 'url': 'https://i.ytimg.com/vi/lYMTzx2Qcmw/hqdefault.jpg', 'width': 480, 'height': 360}, {'quality': 'medium', 'url': 'https://i.ytimg.com/vi/lYMTzx2Qcmw/mqdefault.jpg', 'width': 320, 'height': 180}, {'quality': 'default', 'url': 'https://i.ytimg.com/vi/lYMTzx2Qcmw/default.jpg', 'width': 120, 'height': 90}, {'quality': 'start', 'url': 'https://i.ytimg.com/vi/lYMTzx2Qcmw/1.jpg', 'width': 120, 'height': 90}, {'quality': 'middle', 'url': 'https://i.ytimg.com/vi/lYMTzx2Qcmw/2.jpg', 'width': 120, 'height': 90}, {'quality': 'end', 'url': 'https://i.ytimg.com/vi/lYMTzx2Qcmw/3.jpg', 'width': 120, 'height': 90}]",374184,"374,184 views",60,1:00,FALSE,FALSE,FALSE
Bad Monkey ?€? Official Trailer | Apple TV+,"Welcome to the shady side of paradise where Vince Vaughn has a long list of unusual suspects. Bad Monkey premieres August 14 on Apple TV+ https://apple.co/_BadMonkey 

Based on Carl Hiaasen?€?s...",2024-08-01T00:57:43.999Z,8 days ago,RokJ4M2UjNc,https://youtube.com/watch?v=RokJ4M2UjNc,Apple TV,UC1Myj674wRVXB9I4c6Hm5zA,https://youtube.com/@AppleTV,"[{'quality': 'maxres', 'url': 'https://i.ytimg.com/vi/RokJ4M2UjNc/maxres.jpg', 'width': 1280, 'height': 720}, {'quality': 'maxresdefault', 'url': 'https://i.ytimg.com/vi/RokJ4M2UjNc/maxresdefault.jpg', 'width': 1280, 'height': 720}, {'quality': 'sddefault', 'url': 'https://i.ytimg.com/vi/RokJ4M2UjNc/sddefault.jpg', 'width': 640, 'height': 480}, {'quality': 'high', 'url': 'https://i.ytimg.com/vi/RokJ4M2UjNc/hqdefault.jpg', 'width': 480, 'height': 360}, {'quality': 'medium', 'url': 'https://i.ytimg.com/vi/RokJ4M2UjNc/mqdefault.jpg', 'width': 320, 'height': 180}, {'quality': 'default', 'url': 'https://i.ytimg.com/vi/RokJ4M2UjNc/default.jpg', 'width': 120, 'height': 90}, {'quality': 'start', 'url': 'https://i.ytimg.com/vi/RokJ4M2UjNc/1.jpg', 'width': 120, 'height': 90}, {'quality': 'middle', 'url': 'https://i.ytimg.com/vi/RokJ4M2UjNc/2.jpg', 'width': 120, 'height': 90}, {'quality': 'end', 'url': 'https://i.ytimg.com/vi/RokJ4M2UjNc/3.jpg', 'width': 120, 'height': 90}]",6845981,"6,845,981 views",172,2:52,TRUE,FALSE,FALSE
"Borderlands (2024) Final Trailer ?€? Cate Blanchett, Kevin Hart, Jack Black","Borderlands ?€? in theaters and IMAX August 9! Get tickets now: https://tickets.borderlands.movie Starring Cate Blanchett, Kevin Hart, Jack Black, Edgar Ram??rez, Ariana Greenblatt, Florian...",2024-08-01T00:57:43.999Z,8 days ago,Icnysn53neU,https://youtube.com/watch?v=Icnysn53neU,Lionsgate Movies,UCJ6nMHaJPZvsJ-HmUmj1SeA,https://youtube.com/@LionsgateMovies,"[{'quality': 'maxres', 'url': 'https://i.ytimg.com/vi/Icnysn53neU/maxres.jpg', 'width': 1280, 'height': 720}, {'quality': 'maxresdefault', 'url': 'https://i.ytimg.com/vi/Icnysn53neU/maxresdefault.jpg', 'width': 1280, 'height': 720}, {'quality': 'sddefault', 'url': 'https://i.ytimg.com/vi/Icnysn53neU/sddefault.jpg', 'width': 640, 'height': 480}, {'quality': 'high', 'url': 'https://i.ytimg.com/vi/Icnysn53neU/hqdefault.jpg', 'width': 480, 'height': 360}, {'quality': 'medium', 'url': 'https://i.ytimg.com/vi/Icnysn53neU/mqdefault.jpg', 'width': 320, 'height': 180}, {'quality': 'default', 'url': 'https://i.ytimg.com/vi/Icnysn53neU/default.jpg', 'width': 120, 'height': 90}, {'quality': 'start', 'url': 'https://i.ytimg.com/vi/Icnysn53neU/1.jpg', 'width': 120, 'height': 90}, {'quality': 'middle', 'url': 'https://i.ytimg.com/vi/Icnysn53neU/2.jpg', 'width': 120, 'height': 90}, {'quality': 'end', 'url': 'https://i.ytimg.com/vi/Icnysn53neU/3.jpg', 'width': 120, 'height': 90}]",551208,"551,208 views",98,1:38,TRUE,FALSE,FALSE
The Lord of the Rings: The Rings of Power | Season 2 ?€? SDCC Trailer | Prime Video,"Beware the promise of gifts. The Lord of the Rings: The Rings of Power returns August 29 on Prime Video.

About The Rings of Power Season 2: Sauron has returned. Cast out by Galadriel, without...",2024-08-01T05:45:43.999Z,6 days ago,pzJDzIDv0mo,https://youtube.com/watch?v=pzJDzIDv0mo,Prime Video,UCQJWtTnAHhEG5w4uN0udnUQ,https://youtube.com/@PrimeVideo,"[{'quality': 'maxres', 'url': 'https://i.ytimg.com/vi/pzJDzIDv0mo/maxres.jpg', 'width': 1280, 'height': 720}, {'quality': 'maxresdefault', 'url': 'https://i.ytimg.com/vi/pzJDzIDv0mo/maxresdefault.jpg', 'width': 1280, 'height': 720}, {'quality': 'sddefault', 'url': 'https://i.ytimg.com/vi/pzJDzIDv0mo/sddefault.jpg', 'width': 640, 'height': 480}, {'quality': 'high', 'url': 'https://i.ytimg.com/vi/pzJDzIDv0mo/hqdefault.jpg', 'width': 480, 'height': 360}, {'quality': 'medium', 'url': 'https://i.ytimg.com/vi/pzJDzIDv0mo/mqdefault.jpg', 'width': 320, 'height': 180}, {'quality': 'default', 'url': 'https://i.ytimg.com/vi/pzJDzIDv0mo/default.jpg', 'width': 120, 'height': 90}, {'quality': 'start', 'url': 'https://i.ytimg.com/vi/pzJDzIDv0mo/1.jpg', 'width': 120, 'height': 90}, {'quality': 'middle', 'url': 'https://i.ytimg.com/vi/pzJDzIDv0mo/2.jpg', 'width': 120, 'height': 90}, {'quality': 'end', 'url': 'https://i.ytimg.com/vi/pzJDzIDv0mo/3.jpg', 'width': 120, 'height': 90}]",17803508,"17,803,508 views",232,3:52,TRUE,FALSE,FALSE
FROM (MGM+ 2024 Series) Season 3 - Official Trailer,"FROM returns 9.22.24 - only on MGM+

#FROM
https://www.instagram.com/fromonmgm/
https://x.com/fromonmgm
https://www.facebook.com/fromonmgm/

FROM unravels the mystery of a nightmarish town...",2024-08-01T08:09:43.999Z,5 days ago,l1vGLEO9ojs,https://youtube.com/watch?v=l1vGLEO9ojs,MGM+,UCy2Tb3StbfsCrIEVMDsPkbw,https://youtube.com/@mgmplus,"[{'quality': 'maxres', 'url': 'https://i.ytimg.com/vi/l1vGLEO9ojs/maxres.jpg', 'width': 1280, 'height': 720}, {'quality': 'maxresdefault', 'url': 'https://i.ytimg.com/vi/l1vGLEO9ojs/maxresdefault.jpg', 'width': 1280, 'height': 720}, {'quality': 'sddefault', 'url': 'https://i.ytimg.com/vi/l1vGLEO9ojs/sddefault.jpg', 'width': 640, 'height': 480}, {'quality': 'high', 'url': 'https://i.ytimg.com/vi/l1vGLEO9ojs/hqdefault.jpg', 'width': 480, 'height': 360}, {'quality': 'medium', 'url': 'https://i.ytimg.com/vi/l1vGLEO9ojs/mqdefault.jpg', 'width': 320, 'height': 180}, {'quality': 'default', 'url': 'https://i.ytimg.com/vi/l1vGLEO9ojs/default.jpg', 'width': 120, 'height': 90}, {'quality': 'start', 'url': 'https://i.ytimg.com/vi/l1vGLEO9ojs/1.jpg', 'width': 120, 'height': 90}, {'quality': 'middle', 'url': 'https://i.ytimg.com/vi/l1vGLEO9ojs/2.jpg', 'width': 120, 'height': 90}, {'quality': 'end', 'url': 'https://i.ytimg.com/vi/l1vGLEO9ojs/3.jpg', 'width': 120, 'height': 90}]",302722,"302,722 views",146,2:26,FALSE,FALSE,FALSE
Deadpool & Wolverine | Final Trailer,This isn?€?t the movie you think it is. #DeadpoolAndWolverine ??????????,2024-08-01T10:32:56.796Z,2 weeks ago,laNA2HgwYXU,https://youtube.com/watch?v=laNA2HgwYXU,Ryan Reynolds,UCA3-nIYWu4PTWkb6NwhEpzg,https://youtube.com/@VancityReynolds,"[{'quality': 'maxres', 'url': 'https://i.ytimg.com/vi/laNA2HgwYXU/maxres.jpg', 'width': 1280, 'height': 720}, {'quality': 'maxresdefault', 'url': 'https://i.ytimg.com/vi/laNA2HgwYXU/maxresdefault.jpg', 'width': 1280, 'height': 720}, {'quality': 'sddefault', 'url': 'https://i.ytimg.com/vi/laNA2HgwYXU/sddefault.jpg', 'width': 640, 'height': 480}, {'quality': 'high', 'url': 'https://i.ytimg.com/vi/laNA2HgwYXU/hqdefault.jpg', 'width': 480, 'height': 360}, {'quality': 'medium', 'url': 'https://i.ytimg.com/vi/laNA2HgwYXU/mqdefault.jpg', 'width': 320, 'height': 180}, {'quality': 'default', 'url': 'https://i.ytimg.com/vi/laNA2HgwYXU/default.jpg', 'width': 120, 'height': 90}, {'quality': 'start', 'url': 'https://i.ytimg.com/vi/laNA2HgwYXU/1.jpg', 'width': 120, 'height': 90}, {'quality': 'middle', 'url': 'https://i.ytimg.com/vi/laNA2HgwYXU/2.jpg', 'width': 120, 'height': 90}, {'quality': 'end', 'url': 'https://i.ytimg.com/vi/laNA2HgwYXU/3.jpg', 'width': 120, 'height': 90}]",10425774,"10,425,774 views",122,2:02,TRUE,FALSE,FALSE
Alien: Romulus | Final Trailer,"The final trailer for Alien: Romulus has arrived. 

Get tickets now and experience it in IMAX. In theaters everywhere August 16. www.fandango.com/AlienRomulus

?€?Alien: Romulus?€? takes the...",2024-08-01T10:32:56.796Z,2 weeks ago,x0XDEhP4MQs,https://youtube.com/watch?v=x0XDEhP4MQs,20th Century Studios,UC2-BeLxzUBSs0uSrmzWhJuQ,https://youtube.com/@20thCenturyStudios,"[{'quality': 'maxres', 'url': 'https://i.ytimg.com/vi/x0XDEhP4MQs/maxres.jpg', 'width': 1280, 'height': 720}, {'quality': 'maxresdefault', 'url': 'https://i.ytimg.com/vi/x0XDEhP4MQs/maxresdefault.jpg', 'width': 1280, 'height': 720}, {'quality': 'sddefault', 'url': 'https://i.ytimg.com/vi/x0XDEhP4MQs/sddefault.jpg', 'width': 640, 'height': 480}, {'quality': 'high', 'url': 'https://i.ytimg.com/vi/x0XDEhP4MQs/hqdefault.jpg', 'width': 480, 'height': 360}, {'quality': 'medium', 'url': 'https://i.ytimg.com/vi/x0XDEhP4MQs/mqdefault.jpg', 'width': 320, 'height': 180}, {'quality': 'default', 'url': 'https://i.ytimg.com/vi/x0XDEhP4MQs/default.jpg', 'width': 120, 'height': 90}, {'quality': 'start', 'url': 'https://i.ytimg.com/vi/x0XDEhP4MQs/1.jpg', 'width': 120, 'height': 90}, {'quality': 'middle', 'url': 'https://i.ytimg.com/vi/x0XDEhP4MQs/2.jpg', 'width': 120, 'height': 90}, {'quality': 'end', 'url': 'https://i.ytimg.com/vi/x0XDEhP4MQs/3.jpg', 'width': 120, 'height': 90}]",2927791,"2,927,791 views",168,2:48,TRUE,FALSE,FALSE
A Different Man | Official Trailer HD | A24,"SUBSCRIBE: http://bit.ly/A24subscribe

From director Aaron Schimberg and starring Sebastian Stan, Renate Reinsve, and Adam Pearson. A DIFFERENT MAN ?€? in theaters this fall. #ADifferentMan...",2024-08-01T10:32:56.796Z,2 weeks ago,_9CmC5Rmsdw,https://youtube.com/watch?v=_9CmC5Rmsdw,A24,UCuPivVjnfNo4mb3Oog_frZg,https://youtube.com/@A24,"[{'quality': 'maxres', 'url': 'https://i.ytimg.com/vi/_9CmC5Rmsdw/maxres.jpg', 'width': 1280, 'height': 720}, {'quality': 'maxresdefault', 'url': 'https://i.ytimg.com/vi/_9CmC5Rmsdw/maxresdefault.jpg', 'width': 1280, 'height': 720}, {'quality': 'sddefault', 'url': 'https://i.ytimg.com/vi/_9CmC5Rmsdw/sddefault.jpg', 'width': 640, 'height': 480}, {'quality': 'high', 'url': 'https://i.ytimg.com/vi/_9CmC5Rmsdw/hqdefault.jpg', 'width': 480, 'height': 360}, {'quality': 'medium', 'url': 'https://i.ytimg.com/vi/_9CmC5Rmsdw/mqdefault.jpg', 'width': 320, 'height': 180}, {'quality': 'default', 'url': 'https://i.ytimg.com/vi/_9CmC5Rmsdw/default.jpg', 'width': 120, 'height': 90}, {'quality': 'start', 'url': 'https://i.ytimg.com/vi/_9CmC5Rmsdw/1.jpg', 'width': 120, 'height': 90}, {'quality': 'middle', 'url': 'https://i.ytimg.com/vi/_9CmC5Rmsdw/2.jpg', 'width': 120, 'height': 90}, {'quality': 'end', 'url': 'https://i.ytimg.com/vi/_9CmC5Rmsdw/3.jpg', 'width': 120, 'height': 90}]",1287079,"1,287,079 views",100,1:40,TRUE,FALSE,FALSE
