title,description,videoId,thumbnails,channelName,channelId,channelUrl,verified,publishedText,publishedDate,viewsText,views,videoUrl,duration,durationText,isShort
Riley Green - Worst Way,"Music video by Riley Green performing Worst Way.© 2025 Nashville Harbor Records & Entertainment, LLC, under exclusive license to Big Machine Label Group, LLC",OkktfeAR-Rk,"[{'quality': 'maxres', 'url': 'https://i.ytimg.com/vi/OkktfeAR-Rk/maxres.jpg', 'width': 1280, 'height': 720}, {'quality': 'maxresdefault', 'url': 'https://i.ytimg.com/vi/OkktfeAR-Rk/maxresdefault.jpg', 'width': 1280, 'height': 720}, {'quality': 'sddefault', 'url': 'https://i.ytimg.com/vi/OkktfeAR-Rk/sddefault.jpg', 'width': 640, 'height': 480}, {'quality': 'high', 'url': 'https://i.ytimg.com/vi/OkktfeAR-Rk/hqdefault.jpg', 'width': 480, 'height': 360}, {'quality': 'medium', 'url': 'https://i.ytimg.com/vi/OkktfeAR-Rk/mqdefault.jpg', 'width': 320, 'height': 180}, {'quality': 'default', 'url': 'https://i.ytimg.com/vi/OkktfeAR-Rk/default.jpg', 'width': 120, 'height': 90}, {'quality': 'start', 'url': 'https://i.ytimg.com/vi/OkktfeAR-Rk/1.jpg', 'width': 120, 'height': 90}, {'quality': 'middle', 'url': 'https://i.ytimg.com/vi/OkktfeAR-Rk/2.jpg', 'width': 120, 'height': 90}, {'quality': 'end', 'url': 'https://i.ytimg.com/vi/OkktfeAR-Rk/3.jpg', 'width': 120, 'height': 90}]",Riley Green,UCSaJ4_YK4luUvkc9lDrwfKg,https://www.youtube.com/channel/UCSaJ4_YK4luUvkc9lDrwfKg,False,6 days ago,2025-02-12T20:10:18.034Z,"2,653,244 views",2653244,https://www.youtube.com/watch?v=OkktfeAR-Rk,225,3:45,False
Sabrina Carpenter - Please Please Please ft. Dolly Parton,"Sabrina Carpenter - Please Please Please (feat. Dolly Parton)

Listen to Short n’ Sweet Deluxe, out now: https://sabrinacarpenter.lnk.to/ShortNSweetDeluxe
Watch all Short n’ Sweet videos...",YiQ7qiL73aI,"[{'quality': 'maxres', 'url': 'https://i.ytimg.com/vi/YiQ7qiL73aI/maxres.jpg', 'width': 1280, 'height': 720}, {'quality': 'maxresdefault', 'url': 'https://i.ytimg.com/vi/YiQ7qiL73aI/maxresdefault.jpg', 'width': 1280, 'height': 720}, {'quality': 'sddefault', 'url': 'https://i.ytimg.com/vi/YiQ7qiL73aI/sddefault.jpg', 'width': 640, 'height': 480}, {'quality': 'high', 'url': 'https://i.ytimg.com/vi/YiQ7qiL73aI/hqdefault.jpg', 'width': 480, 'height': 360}, {'quality': 'medium', 'url': 'https://i.ytimg.com/vi/YiQ7qiL73aI/mqdefault.jpg', 'width': 320, 'height': 180}, {'quality': 'default', 'url': 'https://i.ytimg.com/vi/YiQ7qiL73aI/default.jpg', 'width': 120, 'height': 90}, {'quality': 'start', 'url': 'https://i.ytimg.com/vi/YiQ7qiL73aI/1.jpg', 'width': 120, 'height': 90}, {'quality': 'middle', 'url': 'https://i.ytimg.com/vi/YiQ7qiL73aI/2.jpg', 'width': 120, 'height': 90}, {'quality': 'end', 'url': 'https://i.ytimg.com/vi/YiQ7qiL73aI/3.jpg', 'width': 120, 'height': 90}]",Sabrina Carpenter,UCPKWE1H6xhxwPlqUlKgHb_w,https://www.youtube.com/channel/UCPKWE1H6xhxwPlqUlKgHb_w,False,4 days ago,2025-02-14T20:10:18.034Z,"6,919,853 views",6919853,https://www.youtube.com/watch?v=YiQ7qiL73aI,188,3:08,False
kwn - worst behaviour (Official Video) ft. Kehlani,"stream ""worst behaviour"" here: https://kwn.lnk.to/wbr

follow me here:
tiktok:https://www.tiktok.com/@kwnway
instagram:https://www.instagram.com/kwnway/
twitter:https://x.com/kwnway
youtube:https:/...",VHsJCGh4gr4,"[{'quality': 'maxres', 'url': 'https://i.ytimg.com/vi/VHsJCGh4gr4/maxres.jpg', 'width': 1280, 'height': 720}, {'quality': 'maxresdefault', 'url': 'https://i.ytimg.com/vi/VHsJCGh4gr4/maxresdefault.jpg', 'width': 1280, 'height': 720}, {'quality': 'sddefault', 'url': 'https://i.ytimg.com/vi/VHsJCGh4gr4/sddefault.jpg', 'width': 640, 'height': 480}, {'quality': 'high', 'url': 'https://i.ytimg.com/vi/VHsJCGh4gr4/hqdefault.jpg', 'width': 480, 'height': 360}, {'quality': 'medium', 'url': 'https://i.ytimg.com/vi/VHsJCGh4gr4/mqdefault.jpg', 'width': 320, 'height': 180}, {'quality': 'default', 'url': 'https://i.ytimg.com/vi/VHsJCGh4gr4/default.jpg', 'width': 120, 'height': 90}, {'quality': 'start', 'url': 'https://i.ytimg.com/vi/VHsJCGh4gr4/1.jpg', 'width': 120, 'height': 90}, {'quality': 'middle', 'url': 'https://i.ytimg.com/vi/VHsJCGh4gr4/2.jpg', 'width': 120, 'height': 90}, {'quality': 'end', 'url': 'https://i.ytimg.com/vi/VHsJCGh4gr4/3.jpg', 'width': 120, 'height': 90}]",kwn,UCYJZgZnRR_SjmdfaZEzIlgQ,https://www.youtube.com/channel/UCYJZgZnRR_SjmdfaZEzIlgQ,False,4 days ago,2025-02-14T20:10:18.034Z,"1,640,840 views",1640840,https://www.youtube.com/watch?v=VHsJCGh4gr4,232,3:52,False
PARTYNEXTDOOR & DRAKE - CN TOWER,"Listen to $ome $exy $ongs 4 U: https://ovo-partynextdoor.ffm.to/4u

FOLLOW PARTYNEXTDOOR: 
Website: https://partyomo.com/
TikTok: https://www.tiktok.com/@partynextdoor 
Instagram: https://www.insta...",0gI8phQgRss,"[{'quality': 'maxres', 'url': 'https://i.ytimg.com/vi/0gI8phQgRss/maxres.jpg', 'width': 1280, 'height': 720}, {'quality': 'maxresdefault', 'url': 'https://i.ytimg.com/vi/0gI8phQgRss/maxresdefault.jpg', 'width': 1280, 'height': 720}, {'quality': 'sddefault', 'url': 'https://i.ytimg.com/vi/0gI8phQgRss/sddefault.jpg', 'width': 640, 'height': 480}, {'quality': 'high', 'url': 'https://i.ytimg.com/vi/0gI8phQgRss/hqdefault.jpg', 'width': 480, 'height': 360}, {'quality': 'medium', 'url': 'https://i.ytimg.com/vi/0gI8phQgRss/mqdefault.jpg', 'width': 320, 'height': 180}, {'quality': 'default', 'url': 'https://i.ytimg.com/vi/0gI8phQgRss/default.jpg', 'width': 120, 'height': 90}, {'quality': 'start', 'url': 'https://i.ytimg.com/vi/0gI8phQgRss/1.jpg', 'width': 120, 'height': 90}, {'quality': 'middle', 'url': 'https://i.ytimg.com/vi/0gI8phQgRss/2.jpg', 'width': 120, 'height': 90}, {'quality': 'end', 'url': 'https://i.ytimg.com/vi/0gI8phQgRss/3.jpg', 'width': 120, 'height': 90}]",PARTYNEXTDOOR,UCz9f4llEeQyb5F2_p9CirYw,https://www.youtube.com/channel/UCz9f4llEeQyb5F2_p9CirYw,False,4 days ago,2025-02-14T20:10:18.034Z,"2,051,876 views",2051876,https://www.youtube.com/watch?v=0gI8phQgRss,242,4:02,False
PARTYNEXTDOOR & DRAKE - GIMME A HUG,"Listen to $ome $exy $ongs 4 U: https://ovo-partynextdoor.ffm.to/4u

FOLLOW PARTYNEXTDOOR: 
Website: https://partyomo.com/
TikTok: https://www.tiktok.com/@partynextdoor 
Instagram: https://www.insta...",2OiCqFdTDp4,"[{'quality': 'maxres', 'url': 'https://i.ytimg.com/vi/2OiCqFdTDp4/maxres.jpg', 'width': 1280, 'height': 720}, {'quality': 'maxresdefault', 'url': 'https://i.ytimg.com/vi/2OiCqFdTDp4/maxresdefault.jpg', 'width': 1280, 'height': 720}, {'quality': 'sddefault', 'url': 'https://i.ytimg.com/vi/2OiCqFdTDp4/sddefault.jpg', 'width': 640, 'height': 480}, {'quality': 'high', 'url': 'https://i.ytimg.com/vi/2OiCqFdTDp4/hqdefault.jpg', 'width': 480, 'height': 360}, {'quality': 'medium', 'url': 'https://i.ytimg.com/vi/2OiCqFdTDp4/mqdefault.jpg', 'width': 320, 'height': 180}, {'quality': 'default', 'url': 'https://i.ytimg.com/vi/2OiCqFdTDp4/default.jpg', 'width': 120, 'height': 90}, {'quality': 'start', 'url': 'https://i.ytimg.com/vi/2OiCqFdTDp4/1.jpg', 'width': 120, 'height': 90}, {'quality': 'middle', 'url': 'https://i.ytimg.com/vi/2OiCqFdTDp4/2.jpg', 'width': 120, 'height': 90}, {'quality': 'end', 'url': 'https://i.ytimg.com/vi/2OiCqFdTDp4/3.jpg', 'width': 120, 'height': 90}]",PARTYNEXTDOOR,UCz9f4llEeQyb5F2_p9CirYw,https://www.youtube.com/channel/UCz9f4llEeQyb5F2_p9CirYw,False,4 days ago,2025-02-14T20:10:18.034Z,"1,771,924 views",1771924,https://www.youtube.com/watch?v=2OiCqFdTDp4,194,3:14,False
GIMME A HUG,"Provided to YouTube by Foundation Media LLC

GIMME A HUG · Drake

$ome $exy $ongs 4 U

℗ 2025 OVO Sound under exclusive license to Santa Anna Label Group and OVO under exclusive license...",UAr4LjylGFs,"[{'quality': 'maxres', 'url': 'https://i.ytimg.com/vi/UAr4LjylGFs/maxres.jpg', 'width': 1280, 'height': 720}, {'quality': 'maxresdefault', 'url': 'https://i.ytimg.com/vi/UAr4LjylGFs/maxresdefault.jpg', 'width': 1280, 'height': 720}, {'quality': 'sddefault', 'url': 'https://i.ytimg.com/vi/UAr4LjylGFs/sddefault.jpg', 'width': 640, 'height': 480}, {'quality': 'high', 'url': 'https://i.ytimg.com/vi/UAr4LjylGFs/hqdefault.jpg', 'width': 480, 'height': 360}, {'quality': 'medium', 'url': 'https://i.ytimg.com/vi/UAr4LjylGFs/mqdefault.jpg', 'width': 320, 'height': 180}, {'quality': 'default', 'url': 'https://i.ytimg.com/vi/UAr4LjylGFs/default.jpg', 'width': 120, 'height': 90}, {'quality': 'start', 'url': 'https://i.ytimg.com/vi/UAr4LjylGFs/1.jpg', 'width': 120, 'height': 90}, {'quality': 'middle', 'url': 'https://i.ytimg.com/vi/UAr4LjylGFs/2.jpg', 'width': 120, 'height': 90}, {'quality': 'end', 'url': 'https://i.ytimg.com/vi/UAr4LjylGFs/3.jpg', 'width': 120, 'height': 90}]",Drake,UCByOQJjav0CUDwxCk-jVNRQ,https://www.youtube.com/channel/UCByOQJjav0CUDwxCk-jVNRQ,False,4 days ago,2025-02-14T20:10:18.034Z,"1,693,380 views",1693380,https://www.youtube.com/watch?v=UAr4LjylGFs,194,3:14,False
Lady Gaga - Abracadabra (Official Music Video),"MAYHEM coming March 7
Pre-order now
http://ladygaga.com 

Listen to “Abracadabra”, out now: http://LadyGaga.lnk.to/Abracadabra

Directed by Lady Gaga, Parris Goebel and Bethany Vargas
...",vBynw9Isr28,"[{'quality': 'maxres', 'url': 'https://i.ytimg.com/vi/vBynw9Isr28/maxres.jpg', 'width': 1280, 'height': 720}, {'quality': 'maxresdefault', 'url': 'https://i.ytimg.com/vi/vBynw9Isr28/maxresdefault.jpg', 'width': 1280, 'height': 720}, {'quality': 'sddefault', 'url': 'https://i.ytimg.com/vi/vBynw9Isr28/sddefault.jpg', 'width': 640, 'height': 480}, {'quality': 'high', 'url': 'https://i.ytimg.com/vi/vBynw9Isr28/hqdefault.jpg', 'width': 480, 'height': 360}, {'quality': 'medium', 'url': 'https://i.ytimg.com/vi/vBynw9Isr28/mqdefault.jpg', 'width': 320, 'height': 180}, {'quality': 'default', 'url': 'https://i.ytimg.com/vi/vBynw9Isr28/default.jpg', 'width': 120, 'height': 90}, {'quality': 'start', 'url': 'https://i.ytimg.com/vi/vBynw9Isr28/1.jpg', 'width': 120, 'height': 90}, {'quality': 'middle', 'url': 'https://i.ytimg.com/vi/vBynw9Isr28/2.jpg', 'width': 120, 'height': 90}, {'quality': 'end', 'url': 'https://i.ytimg.com/vi/vBynw9Isr28/3.jpg', 'width': 120, 'height': 90}]",Lady Gaga,UCNL1ZadSjHpjm4q9j2sVtOA,https://www.youtube.com/channel/UCNL1ZadSjHpjm4q9j2sVtOA,False,2 weeks ago,2025-02-04T20:10:18.034Z,"45,134,856 views",45134856,https://www.youtube.com/watch?v=vBynw9Isr28,270,4:30,False
Fuerza Regida - POR ESOS OJOS (VIDEO OFICIAL),"POR ESOS OJOS - Ya Disponible En Todas las Plataformas!

FOLLOW OUR SOCIAL MEDIA!
FUERZA REGIDA |    / fuerzaregid.  .
Jesus Ortiz Paz |   / jesusortizp.  .
Moises Lopez |   / moiseslopezfr...",IpgbHjhiotg,"[{'quality': 'maxres', 'url': 'https://i.ytimg.com/vi/IpgbHjhiotg/maxres.jpg', 'width': 1280, 'height': 720}, {'quality': 'maxresdefault', 'url': 'https://i.ytimg.com/vi/IpgbHjhiotg/maxresdefault.jpg', 'width': 1280, 'height': 720}, {'quality': 'sddefault', 'url': 'https://i.ytimg.com/vi/IpgbHjhiotg/sddefault.jpg', 'width': 640, 'height': 480}, {'quality': 'high', 'url': 'https://i.ytimg.com/vi/IpgbHjhiotg/hqdefault.jpg', 'width': 480, 'height': 360}, {'quality': 'medium', 'url': 'https://i.ytimg.com/vi/IpgbHjhiotg/mqdefault.jpg', 'width': 320, 'height': 180}, {'quality': 'default', 'url': 'https://i.ytimg.com/vi/IpgbHjhiotg/default.jpg', 'width': 120, 'height': 90}, {'quality': 'start', 'url': 'https://i.ytimg.com/vi/IpgbHjhiotg/1.jpg', 'width': 120, 'height': 90}, {'quality': 'middle', 'url': 'https://i.ytimg.com/vi/IpgbHjhiotg/2.jpg', 'width': 120, 'height': 90}, {'quality': 'end', 'url': 'https://i.ytimg.com/vi/IpgbHjhiotg/3.jpg', 'width': 120, 'height': 90}]",FUERZA REGIDA,UCFLI6KAjrKRtydD7KqiYvAw,https://www.youtube.com/channel/UCFLI6KAjrKRtydD7KqiYvAw,False,6 days ago,2025-02-12T20:10:18.034Z,"8,955,158 views",8955158,https://www.youtube.com/watch?v=IpgbHjhiotg,195,3:15,False
M & M,"Provided to YouTube by Josa Records

M & M · Neton Vega

Mi Vida Mi Muerte

℗ 2025 Josa Records

Released on: 2025-02-14

Unknown: L Prince
Producer: Luis Ernesto Vega Carvajal
Producer:...",hiyF4uUUMW0,"[{'quality': 'maxres', 'url': 'https://i.ytimg.com/vi/hiyF4uUUMW0/maxres.jpg', 'width': 1280, 'height': 720}, {'quality': 'maxresdefault', 'url': 'https://i.ytimg.com/vi/hiyF4uUUMW0/maxresdefault.jpg', 'width': 1280, 'height': 720}, {'quality': 'sddefault', 'url': 'https://i.ytimg.com/vi/hiyF4uUUMW0/sddefault.jpg', 'width': 640, 'height': 480}, {'quality': 'high', 'url': 'https://i.ytimg.com/vi/hiyF4uUUMW0/hqdefault.jpg', 'width': 480, 'height': 360}, {'quality': 'medium', 'url': 'https://i.ytimg.com/vi/hiyF4uUUMW0/mqdefault.jpg', 'width': 320, 'height': 180}, {'quality': 'default', 'url': 'https://i.ytimg.com/vi/hiyF4uUUMW0/default.jpg', 'width': 120, 'height': 90}, {'quality': 'start', 'url': 'https://i.ytimg.com/vi/hiyF4uUUMW0/1.jpg', 'width': 120, 'height': 90}, {'quality': 'middle', 'url': 'https://i.ytimg.com/vi/hiyF4uUUMW0/2.jpg', 'width': 120, 'height': 90}, {'quality': 'end', 'url': 'https://i.ytimg.com/vi/hiyF4uUUMW0/3.jpg', 'width': 120, 'height': 90}]",Neton Vega,UCjZH6k7eSRdcNOOUMTMWyBg,https://www.youtube.com/channel/UCjZH6k7eSRdcNOOUMTMWyBg,False,5 days ago,2025-02-13T20:10:18.034Z,"2,056,519 views",2056519,https://www.youtube.com/watch?v=hiyF4uUUMW0,167,2:47,False
PARTYNEXTDOOR & DRAKE - DEEPER,"Listen to $ome $exy $ongs 4 U: https://ovo-partynextdoor.ffm.to/4u

FOLLOW PARTYNEXTDOOR: 
Website: https://partyomo.com/
TikTok: https://www.tiktok.com/@partynextdoor 
Instagram: https://www.insta...",MIUga78PXw0,"[{'quality': 'maxres', 'url': 'https://i.ytimg.com/vi/MIUga78PXw0/maxres.jpg', 'width': 1280, 'height': 720}, {'quality': 'maxresdefault', 'url': 'https://i.ytimg.com/vi/MIUga78PXw0/maxresdefault.jpg', 'width': 1280, 'height': 720}, {'quality': 'sddefault', 'url': 'https://i.ytimg.com/vi/MIUga78PXw0/sddefault.jpg', 'width': 640, 'height': 480}, {'quality': 'high', 'url': 'https://i.ytimg.com/vi/MIUga78PXw0/hqdefault.jpg', 'width': 480, 'height': 360}, {'quality': 'medium', 'url': 'https://i.ytimg.com/vi/MIUga78PXw0/mqdefault.jpg', 'width': 320, 'height': 180}, {'quality': 'default', 'url': 'https://i.ytimg.com/vi/MIUga78PXw0/default.jpg', 'width': 120, 'height': 90}, {'quality': 'start', 'url': 'https://i.ytimg.com/vi/MIUga78PXw0/1.jpg', 'width': 120, 'height': 90}, {'quality': 'middle', 'url': 'https://i.ytimg.com/vi/MIUga78PXw0/2.jpg', 'width': 120, 'height': 90}, {'quality': 'end', 'url': 'https://i.ytimg.com/vi/MIUga78PXw0/3.jpg', 'width': 120, 'height': 90}]",PARTYNEXTDOOR,UCz9f4llEeQyb5F2_p9CirYw,https://www.youtube.com/channel/UCz9f4llEeQyb5F2_p9CirYw,False,4 days ago,2025-02-14T20:10:18.034Z,"1,011,655 views",1011655,https://www.youtube.com/watch?v=MIUga78PXw0,173,2:53,False
